COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS
23f04363-0da,SubscribeNow123765,2024-01-09T15:00:00,SUB4SUB ANYONE??? SUBSCRIBE TO ME AND I'LL SUBSCRIBE BACK!!!,1
32ece6a2-454,FakeAccount001,2023-04-17T19:00:00,WANT FREE FOLLOWERS? CLICK HTTP://CLICK4CASH.NET!!!!!!,1
aa4e99ac-c2e,BotUser_xz590,2023-05-24T22:00:00,I bet you can't subscribe to my channel!,1
56ac3523-447,Brandon White,2023-03-04T00:00:00,I disagree with some points but overall good video,0
abe01c89-82e,RichQuick,2023-01-16T12:00:00,"If you see this, you HAVE to subscribe to me!",1
a26b83d9-54c,ClickHere4Free767,2023-07-05T16:00:00,Great content! Visit my page for similar stuff!,1
687fc1bb-60f,FollowerFactory22,2024-03-05T18:00:00,My channel is better than this one lol subscribe 🔥🔥🤑😱,1
7e83c1fa-8ce,LikeBot3000933,2023-04-13T20:00:00,SUBSCRIBE OR BAD LUCK FOR 7 YEARS!!!,1
ea05df7d-74e,Matthew Wright,2024-05-03T06:00:00,Such an underrated channel,0
69928727-f19,Emily Chen,2024-03-04T18:00:00,"I learned so much from this, thank you!",0
0d5ad3ae-773,Stephanie King,2024-08-31T05:00:00,More people need to see this video,0
829a8fbd-377,Megan Walker,2023-11-12T15:00:00,This is the best explanation I've found on YouTube,0
5cfbc283-848,Emily Chen,2023-09-28T04:00:00,I've been looking for this information everywhere. Thank you!,0
5633a228-d3a,Sub4SubKing210,2024-02-06T21:00:00,MY TRADING BOT MADE ME RICH HTTP://BIT.LY/FREESTUFF 🤑👇!!!!!!!!!,1
a600b189-4d2,LikeBot3000947,2024-02-04T01:00:00,NICE VIDEO! 👍 CHECK OUT MY CONTENT TOO!,1
1b1053f0-677,science_geek,2023-12-30T03:00:00,Beautifully produced video as always,0
42cc34fe-0d4,travel_addict,2023-02-26T00:00:00,Beautifully produced video as always,0
ae5df371-549,SubscribeNow123,2023-10-02T01:00:00,FREE ROBUX! Go to https://t.co/xYzAbCdEf right now!,1
eb3be332-789,Sub4SubKing,2024-06-11T07:00:00,NFT drop happening now! http://click4cash.net 🚀🚀🚀,1
2dfe5216-49e,Joshua Hill,2024-11-05T21:00:00,Love the way you break down complex topics,0
32936d4e-781,SpamMaster938,2023-01-27T16:00:00,AMAZING! I JUST UPLOADED SOMETHING EVEN BETTER!,1
aec754cc-ced,Ethan Green,2023-08-21T05:00:00,Looking forward to the next one!,0
de2599db-ddd,Rachel Lewis,2024-06-29T19:00:00,Really appreciate the effort you put into these videos,0
dcfc0dd7-b8d,ViralQueen954,2023-09-07T14:00:00,HEY CHECK MY CHANNEL OUT HTTPS://T.CO/XYZABCDEF,1
972dae19-ebc,gamer_pro,2024-03-17T03:00:00,I love how you included both sides of the argument,0
cea3bd58-e7c,travel_addict,2024-01-28T23:00:00,The quality of your content keeps getting better,0
d2de7166-3d4,FreeGiftBot71,2024-11-10T06:00:00,I bet you can't subscribe to my channel!,1
f3d16a83-fc7,Joshua Hill,2023-02-23T17:00:00,You should collab with MrBeast,0
4baf2c7d-925,Ryan Thomas,2023-12-28T06:00:00,"I cried watching this, so beautiful",0
4e104d88-aa1,Amanda Wilson,2024-04-12T01:00:00,This is better than my university lectures lol,0
b3f68805-ded,bookworm_99,2024-08-11T21:00:00,This is better than my university lectures lol,0
a9c9a0f6-712,bookworm_99,2023-05-05T00:00:00,I have a question about the part at 7:15,0
51d8b1d5-a3d,travel_addict,2024-10-24T13:00:00,Your travel vlogs are always so beautiful,0
743f09b7-cf8,James Smith,2024-05-29T09:00:00,More people need to see this video,0
27018a99-22e,Olivia Adams,2023-01-13T04:00:00,I love how you included both sides of the argument,0
ebeb0ebe-134,Sub4SubKing,2024-07-23T05:00:00,GREAT CONTENT! VISIT MY PAGE FOR SIMILAR STUFF!!!!!!!!!!,1
8e02888e-3bf,FreeGiftBot,2024-10-14T06:00:00,FREE ROBUX! GO TO HTTP://TINYURL.COM/FR33G1FTS RIGHT NOW!,1
0297a45b-952,FollowerFactory471,2024-05-12T09:00:00,CHECK OUT THIS AMAZING DEAL AT HTTP://SCAMSITE.XYZ/FREE,1
4d89becf-0bc,FollowerFactory,2024-06-03T14:00:00,First comment! Check my channel out plz! 🤑😱🔥🤑!!!,1
aa4d6251-017,SubscribeNow123446,2024-06-18T03:00:00,Dating site http://get-rich-fast.com join free today!,1
65acaf78-5da,FollowerFactory,2024-04-11T16:00:00,Adult content at https://t.co/xYzAbCdEf 🔞,1
83718769-59e,SpamMaster638,2024-06-09T19:00:00,SO INSPIRING! I POSTED A REACTION ON MY CHANNEL!!!!,1
96de6c9c-997,ViralQueen,2023-01-17T07:00:00,Earn money online easily! http://bit.ly/fReEstUfF 🎁💯👇💰,1
95b58821-0e6,MoneyMaker2024,2024-05-14T15:00:00,Win a $1000 gift card at http://get-rich-fast.com!!!!!!,1
7d016784-abd,gamer_pro,2024-11-18T22:00:00,The cinematography is stunning,0
41619387-31d,Ryan Thomas,2024-06-06T17:00:00,Love the way you break down complex topics,0
86013928-068,tech_nerd,2023-07-13T22:00:00,Thank you for making this free,0
23d66afe-9fa,Ashley Lopez,2024-04-19T05:00:00,You should collab with SmarterEveryDay,0
acec7af4-e26,Amanda Wilson,2024-09-18T15:00:00,I have a project due next week and this is saving me,0
b78e887e-760,BotUser_xz857,2023-06-10T03:00:00,Best deals ever at https://t.co/xYzAbCdEf 🔥🔥🔥!!!!!!,1
4dd019d9-3a0,FakeAccount001990,2024-06-25T01:00:00,I just got a free PS5 from http://bit.ly/fReEstUfF!!!,1
b79be7d1-dce,gamer_pro,2024-01-12T15:00:00,Can you make a video about psychology?,0
bef4ef1d-88e,MoneyMaker2024290,2023-09-08T13:00:00,Hey check my channel out http://goo.gl/spam123,1
215aa42b-d9b,BotUser_xz,2023-11-15T00:00:00,CLICK HERE FOR FREE V-BUCKS HTTPS://T.CO/XYZABCDEF 💰😱,1
807bb4b5-a97,RichQuick,2023-07-07T10:00:00,NFT DROP HAPPENING NOW! HTTP://BITCOIN-PROFIT.IO 🚀🚀🚀,1
45d11ee0-993,Jessica Lee,2024-04-24T00:00:00,Rewatching this because it's so good,0
ec101614-9d8,Lauren Allen,2023-12-17T05:00:00,I wish my teachers explained things like you do,0
763f80a5-1d0,SpamMaster525,2023-08-31T23:00:00,MY TRADING BOT MADE ME RICH HTTP://CLICK4CASH.NET 🚀🚀,1
7fe2c43a-c17,ViralQueen,2023-05-15T21:00:00,HEY CHECK MY CHANNEL OUT HTTP://CLICK4CASH.NET 💰😱,1
770bb65e-812,foodie_life,2023-06-18T14:00:00,The animation at 3:42 was really cool,0
267d96e1-487,Chris Taylor,2023-08-30T11:00:00,How long did it take you to film this?,0
5d736a8f-bfa,SubscribeNow123,2024-06-13T11:00:00,OMG this actually works!! http://www.fakepromo.net 💰💰💰 🚀🎁,1
e4f11825-106,Andrew Young,2024-05-26T00:00:00,You should collab with Mark Rober,0
a98e45da-9a5,FreeGiftBot522,2024-07-23T17:00:00,OMG THIS ACTUALLY WORKS!! HTTP://GET-RICH-FAST.COM 💰💰💰,1
d2c1e26f-eb4,FreeGiftBot97,2023-01-04T21:00:00,NFT drop happening now! http://subscribe2win.com 🚀🚀🚀,1
51ec7409-db0,Lisa Anderson,2024-09-16T03:00:00,Thank you for being so honest and genuine,0
2b6b9208-8ba,Brandon White,2023-04-10T09:00:00,Such an underrated channel,0
148384ad-716,LikeBot3000,2024-06-01T03:00:00,OMG this actually works!! http://scamsite.xyz/free 💰💰💰,1
5edc0b81-ac0,Alex Johnson,2024-05-17T02:00:00,This channel deserves more subscribers,0
7afc8d47-4e4,Tyler Hall,2024-04-03T06:00:00,I tried this and it actually worked! Thanks!,0
cf943eae-35c,Maria Garcia,2023-04-17T06:00:00,Please do more videos like this!,0
7ebbc3b3-3d3,ViralQueen233,2023-01-13T20:00:00,"I turned $100 into $50,000 with crypto! DM me",1
a47831bb-37c,PromoKing,2024-09-11T02:00:00,Best deals ever at http://www.fakepromo.net 🔥🔥🔥,1
6a2a50fd-636,tech_nerd,2023-08-30T04:00:00,Your travel vlogs are always so beautiful,0
9e9b414d-b3d,Kevin Clark,2023-12-03T23:00:00,"I've watched all your videos, you're the best!",0
a38a67c6-2ba,Kevin Clark,2024-10-27T23:00:00,This channel deserves more subscribers,0
c685ce51-ab5,FakeAccount001,2024-09-18T00:00:00,Adult content at http://goo.gl/spam123 🔞,1
c20287f9-f0d,CryptoGuru9919,2023-11-19T21:00:00,Subscribe to my channel https://t.co/xYzAbCdEf for free gifts!,1
336cf6d7-149,art_creator,2024-10-08T19:00:00,This popped up in my recommendations and I'm glad it did,0
f34fb6d8-d8e,fitness_fan,2024-05-04T13:00:00,The editing on this video is amazing,0
6aa39bb8-a3a,RichQuick,2023-02-19T10:00:00,Click here for free V-Bucks https://t.co/xYzAbCdEf 💯💰💰🔥,1
515de1b9-208,James Smith,2024-07-05T23:00:00,What camera do you use?,0
716e5484-44c,MoneyMaker2024927,2023-07-17T08:00:00,Click here for free V-Bucks http://goo.gl/spam123!!!!!!,1
ce5d7088-269,ClickHere4Free627,2023-06-13T21:00:00,Meet beautiful people at http://click4cash.net 😍,1
7945c704-784,Samantha Harris,2023-04-24T14:00:00,This is my favorite YouTube channel,0
abc5f1be-588,ViralQueen758,2024-02-24T01:00:00,FREE ROBUX! Go to http://freelikesfollowers.com right now!,1
22095b86-293,RichQuick,2023-08-20T06:00:00,WHO'S WATCHING IN 2024? SUB TO ME BTW,1
33d4a156-a3f,Tyler Hall,2024-02-20T23:00:00,Such an underrated channel,0
cff8dba5-686,gamer_pro,2023-07-24T15:00:00,I tried this and it actually worked! Thanks!,0
c79504a8-dec,SubscribeNow123,2023-08-05T12:00:00,HOT SINGLES IN YOUR AREA AT HTTP://CLICK4CASH.NET,1
b93fca2e-33b,Olivia Adams,2024-01-27T05:00:00,The animation at 7:15 was really cool,0
3a9318d2-45a,Samantha Harris,2024-08-24T14:00:00,I sent this to my friend who needed to hear this,0
004bc659-46b,LikeBot3000481,2023-08-19T07:00:00,Click here for free V-Bucks http://bitcoin-profit.io,1
4e4b712f-9ed,SubscribeNow123,2024-04-08T01:00:00,PASSIVE INCOME SECRETS REVEALED AT HTTP://BITCOIN-PROFIT.IO!!!,1
53d6a6b8-42e,bookworm_99,2024-06-10T03:00:00,I love how you included both sides of the argument,0
298357fe-967,Sub4SubKing,2023-02-27T05:00:00,Earn money online easily! http://bitcoin-profit.io!!!!!!!!!,1
f72a3743-ac9,tech_nerd,2024-04-16T01:00:00,Thank you for being so honest and genuine,0
768150dd-b79,Samantha Harris,2023-01-07T01:00:00,Notification squad! 🔔,0
129b7537-670,Jessica Lee,2023-08-09T05:00:00,Your dog is so cute! What breed is it?,0
2e383bd3-a14,Rachel Lewis,2024-05-07T20:00:00,This is better than my university lectures lol,0
8974f873-721,gamer_pro,2023-12-21T14:00:00,I was confused about this but now I understand,0
bb7f3b8c-5f3,Sub4SubKing,2023-03-12T05:00:00,CHECK OUT THIS AMAZING DEAL AT HTTP://TINYURL.COM/FR33G1FTS 🚀💯,1
10373bff-bef,Kevin Clark,2024-05-25T04:00:00,You explained in 10 minutes what my textbook couldn't in 100 pages,0
353ffd2d-e47,Ashley Lopez,2023-10-26T11:00:00,The cinematography is stunning,0
3bd2c075-b1c,Matthew Wright,2024-09-20T12:00:00,I tried this recipe and my family loved it!,0
81ac6503-a5c,FakeAccount001,2023-02-23T05:00:00,Get rich quick! http://bitcoin-profit.io!!!,1
9e5ed71b-d9e,BotUser_xz,2024-09-19T02:00:00,DOUBLE YOUR MONEY WITH HTTP://SUBSCRIBE2WIN.COM,1
b1f614ab-137,LikeBot3000507,2024-01-19T20:00:00,OMG THIS ACTUALLY WORKS!! HTTP://GOO.GL/SPAM123 💰💰💰,1
5b6a82f8-0f1,Ashley Lopez,2023-06-02T02:00:00,I shared this with all my friends,0
6aa43c51-ae5,Kevin Clark,2024-10-06T22:00:00,Notification squad! 🔔,0
c2e98d0f-f65,Matthew Wright,2024-11-26T05:00:00,Please do more videos like this!,0
cb939b20-de6,travel_addict,2024-07-29T05:00:00,This is my favorite YouTube channel,0
1b21fd53-eb9,Chris Taylor,2023-10-23T04:00:00,What camera do you use?,0
a4b37018-1e4,fitness_fan,2024-09-23T15:00:00,I was confused about this but now I understand,0
3d62578d-e2e,LikeBot3000,2023-12-04T21:00:00,My channel is better than this one lol subscribe,1
b009283d-1c4,foodie_life,2023-11-01T01:00:00,This restored my faith in YouTube content,0
cb740dce-d70,FreeGiftBot,2024-02-23T10:00:00,Great content! Visit my page for similar stuff!,1
71b4ac81-bf3,MoneyMaker2024,2023-03-21T04:00:00,GET RICH QUICK! HTTP://SUBSCRIBE2WIN.COM,1
07458738-f14,GiveawayBot,2024-03-11T20:00:00,PLEASE SUBSCRIBE TO MY CHANNEL I NEED 1000 SUBS 😱🎁🤑😱🎁!!!,1
6a231e7c-9d1,ViralQueen,2024-04-26T16:00:00,Subscribe to my channel http://www.fakepromo.net for free gifts!,1
6a4af7f7-7fb,tech_nerd,2024-10-07T11:00:00,Looking forward to the next one!,0
3605fc03-c01,FollowerFactory,2023-08-14T20:00:00,Earn money online easily! http://earn-money-now.biz,1
e26fe13d-160,science_geek,2023-01-04T11:00:00,Looking forward to the next one!,0
d3c6ec24-219,LikeBot3000,2024-10-09T20:00:00,GET RICH QUICK! HTTP://GOO.GL/SPAM123,1
ef07335b-1ec,CryptoGuru99,2024-10-17T14:00:00,WOW THIS IS SO GOOD! MY CHANNEL HAS MORE LIKE THIS!,1
0131d771-2b2,Ethan Green,2023-01-26T07:00:00,Early gang! Love your content,0
0d01eb16-ff2,SpamMaster,2023-02-06T22:00:00,SUBSCRIBE OR BAD LUCK FOR 7 YEARS!!!,1
8e0bfa4f-17f,Ethan Green,2024-09-10T14:00:00,The cinematography is stunning,0
f59cb0ac-bc6,foodie_life,2024-05-28T10:00:00,Love the way you break down complex topics,0
483b6e95-14b,Olivia Adams,2024-08-11T16:00:00,This helped me with my homework,0
776276f0-637,Nicole Jackson,2023-03-04T22:00:00,The background music is so calming,0
9a00b1c1-1f8,science_geek,2024-08-03T07:00:00,This is my favorite YouTube channel,0
cd298595-a8b,gamer_pro,2023-07-18T00:00:00,How long did it take you to film this?,0
feb16b04-7eb,Sub4SubKing,2023-02-05T22:00:00,GREAT CONTENT! VISIT MY PAGE FOR SIMILAR STUFF! 💰💯⬇️💰!!!!!!,1
04986c46-461,Ryan Thomas,2024-01-22T00:00:00,Such an underrated channel,0
d78e594d-d5e,foodie_life,2023-03-23T10:00:00,What camera do you use?,0
1d8cb812-078,Ashley Lopez,2023-10-16T12:00:00,I shared this with all my friends,0
baa043d8-6e5,Kevin Clark,2024-03-22T16:00:00,Such an underrated channel,0
376623d2-791,Ryan Thomas,2023-08-09T07:00:00,I tried this recipe and my family loved it!,0
48db9400-777,bookworm_99,2024-06-20T21:00:00,Such an underrated channel,0
2f121807-643,Nicole Jackson,2024-05-25T17:00:00,Can you recommend any books on this topic?,0
a4d2d013-6ad,Stephanie King,2024-09-15T05:00:00,I take notes while watching your videos,0
e294047a-621,Kayla Scott,2024-03-04T00:00:00,This channel deserves more subscribers,0
6317d4d3-07a,Stephanie King,2024-10-12T14:00:00,The editing on this video is amazing,0
cd55640c-675,FollowerFactory,2024-05-27T05:00:00,CLICK HERE FOR FREE V-BUCKS HTTP://BITCOIN-PROFIT.IO,1
47263971-eb0,Kevin Clark,2024-09-24T19:00:00,Can you recommend any books on this topic?,0
c7a8c4c9-e3a,Jessica Lee,2024-04-06T22:00:00,This is my favorite YouTube channel,0
70142ed9-f9b,Chris Taylor,2023-01-23T08:00:00,Looking forward to the next one!,0
c217457d-6a7,FreeGiftBot,2024-10-12T09:00:00,Who's watching in 2024? Sub to me btw 🤑🤑🚀🤑🚀,1
242f39ff-db4,ClickHere4Free,2024-05-03T16:00:00,Check out this amazing deal at http://subscribe2win.com,1
221b522d-179,James Smith,2024-11-12T10:00:00,"I learned so much from this, thank you!",0
a2790ee9-77e,Lisa Anderson,2024-06-02T02:00:00,Thank you for making this free,0
3a8d1d6f-f68,David Kim,2024-02-14T07:00:00,Finally someone who explains this properly!,0
ba190612-6b1,CryptoGuru99,2023-05-06T21:00:00,"I turned $100 into $50,000 with crypto! DM me",1
24f244c1-bf8,Sub4SubKing380,2024-03-04T05:00:00,Visit http://www.fakepromo.net to get 1000 free subscribers!,1
eaa484de-bce,CryptoGuru99,2023-02-10T09:00:00,Hot singles in your area at http://www.fakepromo.net!!!,1
8226b6b0-78c,fitness_fan,2023-02-05T00:00:00,I tried this recipe and my family loved it!,0
b04bb840-5d0,study_buddy,2024-09-29T04:00:00,I wish my teachers explained things like you do,0
abafc19b-9c3,musiclover_42,2023-09-25T22:00:00,This helped me with my homework,0
ab6e7789-a56,Brandon White,2023-11-29T03:00:00,"Great video, really enjoyed it!",0
e0135dae-f14,art_creator,2024-03-17T13:00:00,Beautifully produced video as always,0
713dc582-d6c,Michael Brown,2023-01-18T16:00:00,You explained in 10 minutes what my textbook couldn't in 100 pages,0
71500502-257,FreeGiftBot,2023-04-28T07:00:00,FREE ROBUX! Go to https://t.co/xYzAbCdEf right now!,1
ca5ac455-16d,Lisa Anderson,2023-07-23T01:00:00,The quality of your content keeps getting better,0
ef24de51-9b6,LikeBot3000368,2024-01-22T08:00:00,VISIT HTTP://CLICK4CASH.NET TO GET 1000 FREE SUBSCRIBERS!,1
b7d941a9-813,Ryan Thomas,2024-09-29T19:00:00,How long did it take you to film this?,0
a181c8ce-70e,Ryan Thomas,2023-09-21T06:00:00,You make learning fun!,0
3f2432e0-53a,CryptoGuru99,2024-03-03T19:00:00,Check out this amazing deal at http://earn-money-now.biz,1
6617c55c-31d,bookworm_99,2023-07-19T18:00:00,This helped me with my homework,0
9892c18f-679,MoneyMaker2024112,2023-12-08T17:00:00,My channel is better than this one lol subscribe ⬇️😱🎁😱⬇️,1
8e207059-530,Ryan Thomas,2024-06-08T15:00:00,Rewatching this because it's so good,0
55a58893-9af,ClickHere4Free86,2023-05-01T12:00:00,Want free followers? Click http://earn-money-now.biz,1
40def4d0-89d,LikeBot3000530,2024-08-23T03:00:00,EARN MONEY ONLINE EASILY! HTTP://FREELIKESFOLLOWERS.COM ⬇️👇🚀,1
d03d66aa-826,Kayla Scott,2024-10-12T13:00:00,I tried this recipe and my family loved it!,0
876733a3-657,ClickHere4Free214,2023-01-18T02:00:00,Sub4Sub anyone??? Subscribe to me and I'll subscribe back!!!,1
fe031f1a-746,FollowerFactory326,2023-12-04T17:00:00,OMG this actually works!! http://www.fakepromo.net 💰💰💰,1
2d75cdfd-188,FakeAccount001727,2023-01-14T21:00:00,BITCOIN is going to $100k! Buy now at http://tinyurl.com/fr33g1fts,1
81010f80-510,art_creator,2023-10-23T02:00:00,The quality of your content keeps getting better,0
50dcf5c7-c17,MoneyMaker202455,2024-01-06T07:00:00,Dating site http://get-rich-fast.com join free today!,1
54fb471c-a94,BotUser_xz526,2023-10-27T07:00:00,I bet you can't subscribe to my channel!,1
31082f9f-8db,BotUser_xz964,2023-08-01T12:00:00,NFT DROP HAPPENING NOW! HTTP://SUBSCRIBE2WIN.COM 🚀🚀🚀,1
fb62537b-c67,Amanda Wilson,2023-07-28T14:00:00,This video changed my perspective on things,0
e8baf5e1-584,Alex Johnson,2024-05-24T17:00:00,You make learning fun!,0
1ee78218-f1a,RichQuick558,2023-02-20T13:00:00,CLICK HERE FOR FREE V-BUCKS HTTP://TINYURL.COM/FR33G1FTS,1
219857d4-94e,SpamMaster,2024-03-19T07:00:00,THIS IS FIRE! 🔥 CHECK MY PROFILE!,1
61c55d8c-982,SpamMaster765,2023-03-10T05:00:00,PASSIVE INCOME SECRETS REVEALED AT HTTP://WWW.FAKEPROMO.NET!!!,1
15bb168b-97e,Kevin Clark,2024-02-01T09:00:00,Notification squad! 🔔,0
ffc180e1-45c,PromoKing596,2024-07-07T08:00:00,Best deals ever at http://earn-money-now.biz 🔥🔥🔥,1
a4a43b9e-629,Emily Chen,2024-11-18T13:00:00,You make learning fun!,0
41b4c431-903,GiveawayBot,2024-05-09T23:00:00,Win a $1000 gift card at http://subscribe2win.com 🤑⬇️👇💰💯!!!,1
a84e6c0f-8c3,RichQuick,2024-05-18T05:00:00,BITCOIN IS GOING TO $100K! BUY NOW AT HTTP://FREELIKESFOLLOWERS.COM,1
e6271078-394,Nicole Jackson,2024-02-21T00:00:00,Really appreciate the effort you put into these videos,0
0e9cabe4-37e,Stephanie King,2023-09-28T09:00:00,Could you do a follow-up on this topic?,0
04fa1f4b-5c4,James Smith,2023-07-18T11:00:00,I take notes while watching your videos,0
d15edd88-199,fitness_fan,2023-09-18T03:00:00,Looking forward to the next one!,0
87e935e0-172,Sub4SubKing,2023-03-24T03:00:00,SUBSCRIBE OR BAD LUCK FOR 7 YEARS!!! ⬇️🤑🚀⬇️🤑,1
b12ab974-2cc,Samantha Harris,2024-05-14T21:00:00,I've been looking for this information everywhere. Thank you!,0
69824a08-3b2,ClickHere4Free,2024-06-30T11:00:00,My channel is better than this one lol subscribe 👇😱👇💯💯,1
036180ea-02d,Amanda Wilson,2023-02-02T16:00:00,Thank you for making this free,0
b26095d2-f66,ClickHere4Free41,2023-09-13T23:00:00,Check out my new song on my channel!!!,1
22d10b20-d0c,ViralQueen,2024-04-26T12:00:00,SO INSPIRING! I POSTED A REACTION ON MY CHANNEL! 🔥🔥👇⬇️,1
a820dce5-c3c,Olivia Adams,2023-03-03T01:00:00,Rewatching this because it's so good,0
0bcf40fd-984,David Kim,2024-02-14T18:00:00,Finally someone who explains this properly!,0
5b730d28-f1c,GiveawayBot302,2023-10-09T13:00:00,BITCOIN IS GOING TO $100K! BUY NOW AT HTTP://GOO.GL/SPAM123,1
ecd22e1b-806,PromoKing979,2024-03-16T15:00:00,SUBSCRIBE TO MY CHANNEL HTTP://BIT.LY/FREESTUFF FOR FREE GIFTS!,1
ce7c5e82-0b6,CryptoGuru99,2023-05-26T16:00:00,Sub4Sub anyone??? Subscribe to me and I'll subscribe back!!!,1
e89bb3d3-11f,SubscribeNow123607,2023-11-27T13:00:00,Passive income secrets revealed at http://tinyurl.com/fr33g1fts 💯🚀🚀💰🔥!!!!!!,1
5ddd0753-0b1,Amanda Wilson,2024-12-01T10:00:00,Please do more videos like this!,0
0d114922-a61,science_geek,2024-10-23T18:00:00,What camera do you use?,0
20e4fe54-4c7,CryptoGuru99,2023-07-12T20:00:00,DOUBLE YOUR MONEY WITH HTTP://TINYURL.COM/FR33G1FTS,1
1b3240eb-7de,David Kim,2023-02-21T14:00:00,The editing on this video is amazing,0
80c53dcf-b5d,Emily Chen,2024-11-03T08:00:00,Thank you for making this free,0
5e8c7be4-840,Rachel Lewis,2024-02-11T07:00:00,"This tutorial was super helpful, thanks!",0
1e29920a-1ea,CryptoGuru99,2023-03-13T09:00:00,So inspiring! I posted a reaction on my channel!,1
ee6a9b24-4fd,Rachel Lewis,2023-02-22T02:00:00,Can you recommend any books on this topic?,0
6067ed9f-bf2,Andrew Young,2024-09-08T01:00:00,You explained in 10 minutes what my textbook couldn't in 100 pages,0
5b43ce86-3d7,Tyler Hall,2024-07-11T23:00:00,Your dog is so cute! What breed is it?,0
127cf41c-334,Samantha Harris,2023-09-21T16:00:00,Your travel vlogs are always so beautiful,0
f73274fc-0fc,Matthew Wright,2023-02-15T08:00:00,This is better than my university lectures lol,0
a6999307-c68,Sub4SubKing196,2023-06-08T10:00:00,SO INSPIRING! I POSTED A REACTION ON MY CHANNEL!,1
478f8bf3-f72,FreeGiftBot337,2024-08-29T08:00:00,Like if you agree! Sub to my channel for more!,1
a3d577b3-ecd,Emily Chen,2024-06-13T01:00:00,Could you do a follow-up on this topic?,0
8a1b3fb5-db6,FreeGiftBot,2023-12-06T06:00:00,Get rich quick! http://www.fakepromo.net 🎁🚀💯,1
081e3919-0c7,Kevin Clark,2024-11-28T11:00:00,Please do more videos like this!,0
45eb7faf-ee7,Brandon White,2024-10-14T12:00:00,Such an underrated channel,0
2476314c-c3e,musiclover_42,2023-02-20T04:00:00,Really appreciate the effort you put into these videos,0
b3f8f444-5c9,SubscribeNow123,2024-07-28T20:00:00,SUBSCRIBE OR BAD LUCK FOR 7 YEARS!!!,1
c7df28c9-abb,art_creator,2023-03-24T05:00:00,Beautifully produced video as always,0
93ae18bf-f4b,Sarah Williams,2024-06-24T01:00:00,I shared this with all my friends,0
41144b11-ff8,Emily Chen,2023-12-08T19:00:00,Thank you for being so honest and genuine,0
1110b0d3-b48,Maria Garcia,2023-09-02T00:00:00,I sent this to my friend who needed to hear this,0
